author_id,sentence
1, Please talk to John and tell him about the benefits of the deal and that he should accept it
1,Talk to John the benefits of accepting the dealTalk to John the benefits of deal and also to accept it
1,8
1, The primary role of our recruiters is to search for and locate professionals with good qualifications who live in our area
1,The recruiters should search for people with good qualification in our area
1, 9
1, Carlos speaks English fluently and can also speak Portuguese at an intermediate level and in addition he is capable of conversing in German
1,Carlos can speak English Portugese and also can converse in German
1, 10
1, It’s a really excellent opportunity and one that you should definitely take advantage of
1,It is an excellent opportunity you should take advantage of
1,
1,Creative WritingA Photographer has got a chance for video coverage at a wedding reception
1, He was a very good photographer and he had a lot of experience in this field
1, He is making all the things ready for the wedding reception
1, While he is searching for something he found some of the old photographs which he took before coming into this profession
1, At the initial days he don’t have the idea of becoming a photographer
1, When he and his friends went for a picnic
1, At that time he had taken many photographs
1, By seeing this photographs his friends said that his photography was excellent
1, Then they encouraged them to become a photographer
1, The occasion photograph is more of a hobby but he is interested in wildlife photography
1, When he went to the forest for the first time he was very nervous and he did not know how to manage to take photos of the wild animals
1, At the first time he failed to take the photographs
1, He did not lose hope and sometime in the December he went to the forest for the second time
1, At this time he tried and tried and got the photographs nicely
1, As he failed for the first time he did not lose his hope
1, He built self-confidence himself and then he got the photographs
1, He learned that one should not lose hope if they fail for the first time
1, They have to gain experience from it and identify their mistakes and should proceed further
1, He said to himself that important decision must me made that he should be confident in whatever the work he is doing
1,
1,1)---------------------------------A
1, NareshIf you see someone without a smile give them one of yours2)-------------------------------A
1, NareshMSIT 1st yearIIIT Hyderabad+91 9581614424
1,To: Subject: Regarding Performance FeedbackHello Harish I like to congratulate on your new Job at the ABC technologies
1, I came to know that you got a new project
1, I hope that you will achieve the target in time
1, As I am the team leader I just want to discuss some important things with you
1, You are very good at technical knowledge but have a drawback of doing the work alone and not coping up with all your team members
1, So I suggest you to overcome in this aspect
1, I also got a feedback from our clients that you are good at content but you can’t explain it effectively
1, I suggest you to follow a different way of approach
1, The third thing is that you are aggressive which leads to spoil the relationships
1, So develop the quality of assertiveness
1, I wish you all the best for your new career and project
1,Thanks & Regards----------------------------Naresh ArthamTeam LeaderABC technologies9581614424
1,Writing Task-1:In the lecture we heard about the Altruism which we normally see in humans and animals
1, It is the opposite of selfishness
1, In this lecture the Meerkat is the mammal that stands as a guard when other animals are in pursuit of their prey
1, In this the chance for the guard Meerkat for escaping from the predator is quiet easy but for the other animals it is very hard
1, They are in the danger position
1, If we consider the humans if anyone donates a kidney to the other person who is a relative of that particular person or a stranger
1, Then he is appreciated by the family and the society
1, But in the case of Meerkats one Meerkat can easily escape from the predator by running in the burrow but the other animals who are in search of their prey are in the danger position
1, The author opposes this in the lecture 
1,The animals also sacrifice their food and also their life for the sake of the other animal or a group
1, So one should develop Altruism so that they will be appreciated by the society
1, So the Meerkats are a good example for Altruism
1, Writing Task-2:Now-a-days many children are seeking independence from their parents and some want to live with their parents
1, If the children are staying away from their parents and living independently many problems occur sometimes
1, If we live with our parents we can live happily and we can help our family
1, These days people are giving importance to the money but not the relationships
1, The people are not close to one another
1, For example let us take a student who lives independently
1, If he is given lots and lots of money then he will get addicted to some bad habits and sometimes he might use the money for the wrong purpose
1, But if we people live with our parents their is no chance for them to get addicted to a bad habit
1, It depends on the mindset of the person and also the circumstances he face daily
1, The situations around them will change their mindset
1, Some people want to live independently
1, If they live independently they can study well and makes it easy for them to achieve their goal
1, If we observe outside many people are studying or doing the jobs lonely living away from their parents
1, The people should be given individuality so that they can focus on their goals
1, But living with the parents will help one to develop good qualities and also a good behaviour
1, These days people are lacking the qualities of good
1, So the young adults should live with their parents only
1, The parents should not restrict the children to a certain things because they will become rude and they get habituated to certain things
1, One should understand the situation and behave accordingly
1,
1,TASK-1 HOW TO SPEAK SO THAT ALL PEOPLE CAN LISTENIn this video we learnt about speaking and the different types of speaking generally people follow
1, Generally people speak in seven different types
1, They are GossipsJudgingNegativityComplaining
1,ExcusesLying Dogmatism The above seven are the bad acoustics in speaking
1, To deliver our speech effectively we should not use any of this above methods
1, In this he explained about the word hail which tells about speaking and what each word represents
1,H – Honesty be clear and straight
1,A – Authenticity be yourself
1,I – Integrity be your work
1,L – Love wish them well
1,The tool box of speaking contains the following:Register: Style of speaking
1,Timbre: Voice clarity and quality
1,Prosody: Related to phonetics
1,PacePitch: Voice frequencyVolume: Loudness of our speech
1,
1,E-Mail WritingFrom: NareshTo: HasmithaisCc: ArunSubject : Arun meet Hasmithais
1, Hasmithais meet Arun
1,Arun I want to introduce you to Hashmithias
1, She is a good and efficient content developer and has a experience of 10 years and I know you are looking for a content developer
1, She has worked in Infosys and Cognizant
1, She is one of the member who developed the software for the suggestion that we get in Google search engine 
1, She is a good friend of mine
1,Hashmitias I want to introduce you to Arun
1, He s working in Mindtree company for 12 years
1, He is the project manager and he has undertaken many projects in the company
1,He is good at developing Android application
1, You both grew up in Hyderabad and now based on Mumbai
1,Arun – will you follow up with Hashmitias over email to setup a phone call?ThanksNaresh
1,When I was looking for some career websites this week I noticed that your company has a slot open for an intern this summer
1, The position sounds odd
1, Can you please email me about the application process?
1,Writing Task-1The lecture is about the Professors advantages and disadvantages of appearing in the T
1,V
1, It is helpful for the public to know about the newly developed concepts and equipment
1, By giving the lectures in the television professors have some advantages and disadvantages
1, The professor appear in the television as guests to some shows and they appear inn television for explaining the research work they had done and in many ways
1, The advantages are that they can share the knowledge with many people
1, It gives honor to the professor and also the university in which he works also get a good name
1, By giving seminars in the television they get reputation in academics and also among his colleagues
1, The university gets a positive publicity and reputed in that locality or area
1, The disadvantages by giving seminars or lectures in the television is that they has a lot of wastage of time for preparing the lecture reharsing the lecture travelling and delay in the start of the program
1, It any professor continuously give the lectures in television will not be available for the students in the university which brings bad name for him in the university
1, Given lectures in the television helps many people who has eager to know about new things but the professor should be available for the university also
1, So the professor should give lecture in the television but not all the time
1, Writing Task-2“Young people enjoy more than the older people do
1,”Young people enjoy more than the old people is the correct statement because they have the time and energy in that stage but old people don’t have as much as the young people
1, Generally in the college days the young people in groups will go to the recreation places ad also visit many sightseeing places along with their friends
1, Young people have the habit of enjoying free time with the friends and family whereas the old people don’t have the energy and tendency of their mind towards the enjoyment
1, As the old people work harder daily so in the free times they want to take rest instead of enjoying
1, For example let us consider the college students who were studying engineering has vacations in their academics
1, In this vacation time some students group together and make a plan and go to the hill stations like Kulu Manali Araku Ladakh and many other places
1, The older people get less number of holidays in which they will stay back at home with their family and play with their children and by taking rest
1, There are also some situations where old people enjoy more than the young people
1, For example if we consider a group of people who are friends for many years will form a group and organize an event for the vacations and holidays they get
1, They form a Syndicate and they conduct meetings and they will discuss about an event and then organise the event
1,If we consider in general young people only enjoy more than the old people because of their schedule and friends
1, Old people enjoys less because of their work stress and the little free time they get to enjoy
1, Only some of the exceptional old people enjoy more than the young people
1, So as per the view of mine young people enjoy more than the old do
1,
1,Quiz on Essentials of Essay WritingYou have earned 3 point(s) out of 3 point(s) thus far
1,EW1-TO-S2Instructions: In the following paragraph transitions have been removed
1, Write an appropriate transition from the list given below in each of the blanks in the paragraph
1,: Major ideas: first second for one thing for another thing finally Examples: for example for instance Additional examples: in addition also additionally moreover Conclusions: all in all on the whole as one can see Sources for College Writing Students can draw on a variety of sources to help them with writing assignments
1, (1)________________First _____ they can draw on personal experiences
1, (2)_______For example___________ for an assignment about communication skills a writer might think about the way he or she communicates through conversations with others while at work or at home
1, (3)______In addition___________ a writer might look at ways he or she communicates with others electronically via email or texting or Facebook
1, Students might (4)_______in addition__________ find examples of written communication skills by looking at skills they’ve learned for previous writing assignments
1, (5)__________Second_______________ student writers can look for ideas from other people’s experiences
1, (6)__________In addition_____________ writers can interview other students or even family members
1, (7)________Also______________ a writer may have heard others talk about this topic maybe in class
1, (8)_______Another_____________ source would be television shows on the topic of communication
1, (9)______In addition____________ college writers may find that they need to do some research to complete an assignment
1, (10)______For example____________ lots of experts have written articles or books on the topic of communication skills
1, (11) __________Moreover____________ a search of “communication skills” on the internet might provide useful information; (12)_____Moreover___________ reference librarians can help students find research materials in special collections or databases
1, (13) ______Also________ college writers need to be able to draw on a combination of personal experience observations of others and research materials to develop their written assignments
1,
1,Exercise 1Make the following sentences more concise without removing any information
1,We are working hard so the poor are given the basic essentials to lift themselves out of poverty
1,We are working hard to provide basic needs to the poor to overcome poverty
1,Students should make contact with us for help with their future plans prior to the start of semester
1,Students should contact us to get help for their future plans at the start of semester
1,It is apparent that the tragedy could have been avoided if the company had talked to workers regarding hazards which existed in the workplace
1,Apparently the tragedy could have been avoided if the company had talked to workers regarding hazards in the workplace
1,The total population of the island is 12046 with the future possibility of 5% growth by 2012
1,The population of the island is 12046 with the possibility of 5% growth by 2012A commerce graduate can leverage knowledge they have acquired in their coursework and apply it to the real world
1,A commerce graduate can apply their knowledge in the course work in the real world
1,Exercise 2Make the following paragraphs more concise without removing any information
1,As of 4 August students will be selected using processes which have been created in accordance with legal requirements
1, These processes will be used along with our diversity strategy and all of its relevant policies about student selection
1,From 4 August the students will be selected using the process in accordance with legal requirements along with our diversity strategy and our student policies
1,The Passport Office is replacing free of charge until the dates specified any current passport lost damaged or destroyed as a result of the recent floods
1, Eligible applicants should contact the Passport Information Service (PIS) on 998 9988 for further information
1,The Passport office is replacing any passport lost damaged or destroyed as result of floods
1, Eligible applicants should contact Passport Information Service on 998 9988 for information
1,If an agency or organization breaches the privacy principles our office may investigate the matter
1, Individuals can also make a privacy complaint to us about an agency or organization if they think their information has been mishandled
1,We can investigate if the agency breaches the privacy principles the individuals can also make a complaint about agency if their information is mishandled
1,Aid Agency works to bring immediate assistance to people whose lives have been devastated by natural disasters and conflict
1, Through our work we provide emergency relief in the initial stages of the disaster and we also provide continued support to affected communities as they rebuild and rehabilitate towards a sustainable future
1,The agency helps the people who are suffering from natural disasters and conflict
1, They also provide relief in initial stages and provide support for communities as they rebuild
1, A great number of people feel that people who work for the government need to be able to communicate with the public in a more effective way
1,The people feel that people who work for government should communicate in a more effective way
1,
1,Exercise 1Make the following sentences more concise without removing any information
1,In spite of the fact that our budget for advertising is now higher our sales figures have not gotten any better
1,Although our budget for advertising is higherthe sales are not better
1, In the event of an emergency such as a fire or earthquake please exit the building as soon as you possibly can
1,In case of fire or earthquake exit the building as fast as you can
1,We currently have several available job openings for a variety of positions in our Sales department
1,We have several job openings for a variety of positions in sales department
1, The reason I’m having trouble with my computer is because the antivirus has not been updated at all recently
1,The problem occurred in computer because the antivirus is not updated
1,We consider the candidate to be a very good fit for either of the two positions
1,We consider the candidate to be fit for either positions
1, As we discussed during our previous phone call the shipping charges on your next order with us will be waived
1,As discussed in our phone call the shipping charges on your order is waived
1, We are now in the process of evaluating how to address the issue that exists regarding the performance of our team members
1,We are evaluating the issues of performance of our team members
1,Our researchers carried out interviews with several people who are professionals in the health care industry
1,Our researchers carried interviews with people with health care industry professionals
1, Please change the information on your employee profile to include the most recent information
1,Update your employee profile to get recent information
1,10
1, We would like to offer congratulations to all the people who participated in and completed the training program
1,Congratulations to the people who completed training program
1,
10,Task-1:Personal signature blockThanks and Regards-----------------------------------------Saisree Email: “Its never over you always have a chance”
10, Task-2:Professional signature blockThanks and Regards-------------------------------------------------Saisree Bussa StudentMSIT (IIIT-H)Email: Ph: 8519954825
10,To: Subject: Performance Appraisal
10,Dear XXX Hope you are doing well with the ongoing project
10, The last module you have done was good
10, I look forward for your best performance in your upcoming projects
10, From what I’ve observed I suggest you to play along with your team
10, Though there are no issues with working of the module the presentation to client is not so impressive
10, I suggest you to build up your presentation skills
10,Hope you give your best further
10, Thank you
10,B
10,SaisreeSaisree
10,bussa@gmail
10,com
10,From: SaisreeTo: ArunCC:HashmithaSubject: Arun meet Hashmitha
10, Hashmitha meet ArunArun I want to introduce you to Hashmitha
10, She’s been a partner at Venture Capital Inc
10, for the last 2 years and I know you’re looking for a content developer about nurturing your new website you are making
10, She’s probably too modest to mention it but she was in Time Magazine last week and her fund has produced 30x returns last year
10, She is been my good friend since college
10, Hashmitha Arun is a team manager at The Bombay AccerInc and is looking for a content developer for his team
10, As I mentioned to you he’s the rare breed of manager who handles the team and face any problem comes on
10, You both grew up in Hyderabad and are now based in Bombay
10,Arun – will you follow up with Hashmitha over email to set up a phone call? Thanks-Saisree
10,MODULE : When i was searching some career websites this week i noticed that your company has a lookout for an intern this summer
10, The position sounds great
10, Can you call me back and email and inform me about the application process
10,
10,Professors are not mostly appears on Television
10, But showing themselves on tv have its own advantages and disadvantages sometimes
10,Professors come to television shows to share their knowledge to all the people who may not attend the high reputed universities
10, Their research which is done for many years can be shared with all the people
10,By doing this there are advantages for TV networks professors and also the public
10,For professors who appears on the screen their ideas will be shared with public who can get many appreciations for their work
10, And also get good reputation for themselves
10,For universities which there professors work for also get benefited by this to get good reputation and a positive feel about the university for having such good professors
10,But the disadvantages of showing on TV can also be like waste of a lot of important time which can be used for their research instead
10,And it is also known that professors who show themselves on screen are not invited to important meeting
10, As they share everything to public and also sometimes do not get money for their research
10, So showing upon TV have advantages and disadvantages of its own
10,
10,Altruism is a type of behavior in which an animal sacrifices its own interest for another animal or group of animals
10, Altruism is something to different to selfishness; where we can see them in Meerkat which is a mammal that dwells in burrows in grassland areas of Africa
10,These animals guard the group while the other animals are busy keeping fed themselves they give a cry alarm to the group to indicate the danger of the predictors on them
10, This takes them to grave danger and lets them starve
10,It can also be seen in humans as they donate their food and clothes to other people who require it and also donate blood and body organs who requires them
10,But as per the lecture it is said that Meerkats make it more danger to the groups by guarding to the predictors as their cry allures predictors easily and the guarding meerkat also make other groups react with their cries
10,And as humans get little much of reward for their donations like name and fame which wouldn’t be of any materialistic use
100,Altruism is one the behaviour in animals and humans
100, behaviour of Altruism results in sacrifying the need to group around humans and animals so that they feel comfortable and satisfied by helping
100,in todays Altruism in humans have become rare because of selfishness and competency world
100, the freedom for the people is dying because of lack of altruism in people
100, Not all animals have behaviour like altruism because of one type of species that has sacrificed food and life to help others that happened in africa
100, some may have that nature but most of the times they won't 
100,dogs sacrifice their life to help one who feeds it with food but it doesn't heps the other dog
100,the behaviour of altruism depends up on the types of animal species and the humans up on their nature and locality in which there are living
100, to summarize the topic i believe that one can get gain after his sacrificeyoung adults usually wants to have independence from their parents in some state and also love to live with their parents
100,younger adults are more intelligent and make things faster than they are before because of they come across various types of environments
100, I think its better to live their families because the parents give birth to a child and they look over them better than any other by giving their love to their child they think that their child is good and smart than any other and they dream over their child's future by giving effective needs to them
100, there is one example to support this reason is my childhood friend who was born in middle-class family and he is very intelligent
100, their parents work hard to run the family
100,he was interested in higher studies and their parents helped him for his studies regardless of their their position
100, now he is job holder in top mnc company and made his parents happy too
100,so that if we live with our families than we can achieve any goal regardless of our position where we stand by with love with our families
100,I conclude that we should help our parents and should live with them for whole life because they helps us from our childhood and takes care of us and they achieve nothing by helping us
100, so we should understand the point and try to be with our family as long as we live
100,
100,Writing Task-1The passage is talking about the benefits of the appearance of professors on television and the lecture opposes the appearance of professors on television
100,Now a day’s some professors are giving their ideas on television to get reputation for their university publicity but the time is wasted to travel to the studio and sitting in front of cameras
100, If the spends that time for their university students they would be benefitted
100,Professor giving a lecture on television or sharing their ideas may increase the knowledge for the people who watch it but it doesn’t meet the standards of the lecturer
100, Some professors share their ideas about current affairs history or movies but it doesn’t help the people who watch it but it can be done by the media persons in a efficient manner and it also diminishes the name of the university of the professor who works in
100, rather than giving such ideas on television if the works on this experiments or solving the doubts to their students may help him for his career
100,Because of the above reasons it may seem disadvantage for the professors appearing on television and it would bring negative impression for the professor or his/her university
100,Writing Task-2I agree with the statement “Young people enjoy life more than old people do” but the enjoyment may differ by their age and the responsibilities that they have
100,Young people enjoy their life by studying and achieving more knowledge about the science or the outside culture
100, Education is the key to achieve to achieve success and enjoyment because one can earn respect by achieving knowledge in specific field
100, For instance my friend achyuth is the best example for this
100, He is working as software engineer in google
100, He used to work hard in studies from his childhood
100, He used to solve the problems in an online website and he used to enjoy by it
100, this was seen by google company and recruited him as software engineer
100, So he is enjoying his life in way that cannot be measured
100, This is the one of the instance where is support having knowledge in young life can make life happy
100, Another instance is one of my friend named sindhuja National badminton player
100, She used to do lot of practice from her childhood to achieve her goal in badminton
100, she plays for the telangana state in india
100, She used to enjoy by playing as shehas no tensions and responsibilities at young age
100, She achieved the award as best National badminton player of the year 2015
100,We can achieve whatever we want and can enjoy our life only at our young age
100, As we get older our responsibilities increases and if we are not in good position it is very bad to bear that situation
100, So I completely agree with the statement that “Young people enjoy life more than old people do” by considering above reasons and instances as examples
100,
100,From: VikasTo: HasmithaCC: ArunSubject: Arun meet Hasmitha
100, Hasmitha meet ArunMr
100, Arun I want to introduce you to Ms
100, Hasmitha
100, she is a content developer working in our company since 2 years and I know that you are looking for a strong employee to fill in the spot in content development team
100, She has an experience of 8 years in content development
100, She has been received “Best Content Design” award in 2013
100,she has been my good friend since childhood
100,Ms
100, Hasmitha Arun is a team manager in AccerInc Bombay and he is looking for a content developer in his company
100, I think that you can fit into that company as you are looking for a better job in Bombay after you get married
100,As one of you looking for an employee and other for employment in Bombay I think you both should follow up once
100, Thanks-Vikas
100,Q1)MOVIE TITLE: UPENDRAWHY: The telugu movie UPENDRA is one of the favourite movie for his fans
100, It was directed and acted by Upendra
100, Coming to opening scene the hero’s character named “nenu”who disturbed a girl one who is the daughter of a millionarie
100, Then her father sends the rowdy gang to beat him
100, The gang comes to his street and asks the name of the person who teased thier boss daughter
100, Then every one says “nenu”the name of the hero which means “Iam” in English
100, Then the rowdy gang beats every one in the street since the don’t know that it’s a name of a person
100,MOVIE TITLE: ORU VADAKKAN SELFIEWHY: The tamil movie ORU VADAKKAN SELFIE was directed by prajith Karanavar
100, The hero goes to steal the question paper of his tomorrow’s exam and every one in his gang waits eagerly for him
100, The hero successfully steals the question paper and every one in his gang prepares best from the leaked paper for thier exam
100, Before entering the examination hall the hero’s gang decides not to attempt all the questions and every one should attempt not more than three out of five questions
100, Their selection of questions should be different from one another
100, While they receive the question paper every one’s face becomes pale and they all looks angry at the hero one who leaked question paper and they gives their emty answer sheet back to the invigilator
100, Q2)Essay-1: I have never been to varnasiwhich is the spiritual capital of india in northern indian state of uttar pradesh
100, I would love to go their one day as iam a god lover
100, I heard that it is very different regarding culture people are so nice
100, Mostly the people visit there during the last breath of thier life so that thier soul get mixed with lord shiva
100, Why I like this place so specific because we can remember our olden days by seeing the nature over there and Even though the climate of india changes the climate of varnasi doesn’t get affected
100,
100,Fill in the BlanksSources for College Writing Students can draw on a variety of sources to help them with writing assignments
100, (1) Firstly they can draw on personal experiences
100, (2) Secondly for an assignment about communication skills a writer might think about the way he or she communicates through conversations with others while at work or at home
100, (3) Also a writer might look at ways he or she communicates with others electronically via email or texting or Facebook
100, Students might (4) additionally find examples of written communication skills by looking at skills they’ve learned for previous writing assignments
100, (5) In addition student writers can look for ideas from other people’s experiences
100, (6)For instance writers can interview other students or even family members
100, (7)Also a writer may have heard others talk about this topic maybe in class
100, (8)Addtional source would be television shows on the topic of communication
100, (9)Moreover college writers may find that they need to do some research to complete an assignment
100, (10)In addition lots of experts have written articles or books on the topic of communication skills
100, (11) For one thing a search of “communication skills” on the internet might provide useful information; (12)For another thing reference librarians can help students find research materials in special collections or databases
100, (13) All in all college writers need to be able to draw on a combination of personal experience observations of others and research materials to develop their written assignments
100,
100,Exercise 11) We are working for the people to lift themselves out of poverty
100,2) Students should contact us regarding thier future plans before semester starts
100,3)Apparently tragedy could have been avoided if the company have talked to workers about workplace dangers
100,4) The population of island is 12056 and expected to 5% growth by 2012
100,5)A commerce graduate can apply thier knowledge in real world hat aquired in thier couse work
100,Exercise 21) From august 4th students will be selected using processes which meets legal requirementsdiversity strategies and its relevant policies about student selection
100,2) The Passport Office is providing free replacement for current passport lostdamaged or destroyed in the recent floods
100,For any queries contact the Passport Information Service on 9989988
100,3) Individuals can make a privacy complaint to us if their information has been by mishandled by any agency or organization
100,4) Aid agency help people affected by natural disasters and conflict
100,It provides emergency relief when disaster occurs and continued support to affected communities as they rebuild
100, 5) Most of the people feel that the government employees need to be effectively communicative with the public
100,
100,1) Although our budget for advertising is now higher our sales have not gotten any better
100,2)In any emergencyplease exit the building as soon as possible
100,3) We have several job openings for various positions in sales department
100,4) I’m having trouble with my computer because the antivirus has not been updated recently
100,5) We consider the candidate who fits good for either of the positions
100,6) As we discussed
100, The shipping charges will be waived from your next order
100,7) We are evaluating how to address the issue regarding the performance of our team members
100,8) Our researchers had interviewed the proffesionals in the health care industry
100,9) Please include most recent information on your employee profile
100,10) We congratulate the people who participated and completed the training program
100,
100,1) We hope this decision won’t show negative impact on our firm’s reputation
100,2) The training program prepares every participant for their upcoming certification test
100,3) Could you recommend a contractor in this area to us
100,4) I might get together with some people in my MBA program this weekend
100,5) She is professional courteous and pucntual towards work
100,6) We addressed the problem during our weekly meeting
100,7) Please tell the john about the deal’s benifit and convince him to accept it
100,8) Our recruiters recruit qualified professionals in our area
100,9) Carlos speak sfluent English intermediate Portugese and can converse German
100,10) You have an excellent opportunity to take advangtage of
100,
100,It was a summer vacation were my friends had a free time to spend and we have planned an adventure tour to Nallamallathe section of the Eastern ghats
100,On our way to Nallamalla we were taking pictures and selfies
100, My experience after the tour made me to start a children foundation
100,We have reached the forest by 8
100,00 pm and every one in our batch were tired
100, We were starving for food and asked the local tribes for food
100, Mean while a lady was passing by with her child understood our situation and invited us for the dinner
100, She has a very small hut but very kind heart
100, We all enjoyed the beauty of forest and wild life
100, We had a great experience of mount trecking and hill diving
100, The water beneath the rock is crystal clear and we enjoyed diving into it
100, Our fun lasted for three days and suddenly we saw the sparks of fire in the woods it was the negligence of villagers nearby and the forest caught fire
100, In the forest fire many animals and tribal people died and the poor child lost his mother
100, We were emotional and saved the child from fire and left the forest informing the same to forest department
100,By seeing the orphaned child my friends and me made have decided to help such children and we started a foundation named “Help child to grow”
100, This foundation aims at helping orphaned children by providing education and moral support to lead in their life
100,
100,Rewriting a passage:When I was surfing some career websites this week I found that your company is looking for an intern this summer
100, The position sounds good
100, Could you please send me an email with the details of application process
100,
101,Here in passage and in lecture mainly focussed on professors being at the television show
101, In the passage it is said if the professor can be appear in the television news programs
101, These television appearances are great benefit to the professors and to their universities and to the general public also
101,In the passage it also states that when a professor shares his ideas with the scholars that ideas will be limited only to that particular ideas whereas when the professor shares his ideas through television all general public will come to his ideas
101, Where as in the lecture it says that the general public are interested to see something that kind of lecture in the television that too after the post lunch in the lecture it also says even a TV reporter who has done some research can also be able to do that
101,In the passage it says that the university will also benefit from such programs the general public will come to about the university standards and it also improves donations potential students will apply for admissions
101, But in the universities some of the professors don’t like this and they start avoiding them in the meetings etc
101, is said in the lecture
101,In the passage it is also discussed that the most television viewing people will have chance to see a university professor like this The viewers will not a complete idea about the topic which the professor discussed in the program but the they will have idea about what he had discussed 
101,Topic: Young people enjoy life more than older people do
101,In general Young ones enjoy their life because of their age and the free time they have than the older ones
101, The older people will have a lot of responsibilities they might have crossed the young age and they have enjoyed in the younger life
101, After crossing certain age they will have certain responsibilities to do
101, They have to look after their family and certain important things than enjoying
101,Young ones will have not have a troubles and tensions and more over they don’t have any responsibilities to do
